update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,kl,success_rate,clip_fraction,approx_kl_k3,sigma_mean,mean_log_std,boundary_fraction,return_mean,return_std,return_min,return_max
262,33536,58.674532037330785,572,2.710162878036499,0.0,2.710162878036499,2.710162878036499,500.0,0.0,500.0,500.0,12.0609769821167,0.2640143632888794,0.0009084462653845549,0.005852279718965292,13.374994360793147,0.006289683748036623,0.0,0.0,2.2529370653501246e-06,1.3560165217795823,0.30417912346976145,0.4606029774400367,2.710162878036499,0.0,2.710162878036499,2.710162878036499
263,33664,60.244615142405046,575,2.710162878036499,0.0,2.710162878036499,2.710162878036499,500.0,0.0,500.0,500.0,12.064627647399902,0.2429424524307251,0.0021745411213487387,0.0005770730786025524,16.468935401608864,0.008748747408390045,0.0,0.0,2.556186245783465e-06,1.35674949255275,0.30471981848989216,0.4608453750004102,2.710162878036499,0.0,2.710162878036499,2.710162878036499
264,33792,60.427895451037806,577,2.710162878036499,0.0,2.710162878036499,2.710162878036499,500.0,0.0,500.0,500.0,12.068418502807617,0.21593885123729706,-0.01344216801226139,0.001307181897573173,12.719290377028258,0.005358084104955196,0.0,0.0,1.202032308356138e-06,1.3574786762966706,0.30525740555354525,0.46108631650432724,2.710162878036499,0.0,2.710162878036499,2.710162878036499
265,33920,60.99491654979791,579,2.710162878036499,0.0,2.710162878036499,2.710162878036499,500.0,0.0,500.0,500.0,12.072623252868652,0.29280826449394226,-0.11781947314739227,0.005521830637007952,13.416675979000772,0.0071967365220189095,0.0,0.0,1.6719455743441358e-05,1.3583015400334233,0.30586561134883333,0.4613592444813581,2.710162878036499,0.0,2.710162878036499,2.710162878036499
266,34048,61.67424515605785,581,2.851139545440674,0.0,2.851139545440674,2.851139545440674,500.0,0.0,500.0,500.0,12.076900482177734,0.3159940242767334,0.004412911832332611,0.005621845833957195,17.505917010489853,0.011937132105231285,0.0,0.0,2.799092271743575e-06,1.3591561597390487,0.30649528333118986,0.46164140068353976,2.851139545440674,0.0,2.851139545440674,2.851139545440674
267,34176,60.04290935232682,583,2.851139545440674,0.0,2.851139545440674,2.851139545440674,500.0,0.0,500.0,500.0,12.081209182739258,0.2844431698322296,0.02730007842183113,0.0009154509752988815,12.039597629572285,0.006098349113017321,0.0,0.0,1.4238299627322704e-05,1.3599758577160206,0.3070990102631705,0.46191188559971985,2.851139545440674,0.0,2.851139545440674,2.851139545440674
268,34304,62.70988326966419,586,2.851139545440674,0.0,2.851139545440674,2.851139545440674,500.0,0.0,500.0,500.0,12.085657119750977,0.2140939086675644,0.01845397800207138,0.001469524810090661,13.478045721023111,0.006028612144291401,0.0,0.0,9.982868505176157e-06,1.3608371165653155,0.30773240327835083,0.46219546148563007,2.851139545440674,0.0,2.851139545440674,2.851139545440674
269,34432,60.68187243050227,588,2.851139545440674,0.0,2.851139545440674,2.851139545440674,500.0,0.0,500.0,500.0,12.090343475341797,0.1675894409418106,-0.0014789592241868377,0.00016772098024375737,18.589449779549014,0.011703378520905972,0.0,0.0,3.478190592431929e-06,1.361808450167242,0.30844612206731525,0.4625148670538485,2.851139545440674,0.0,2.851139545440674,2.851139545440674
270,34560,61.21088880882561,590,1.0442885160446167,0.0,1.0442885160446167,1.0442885160446167,500.0,0.0,500.0,500.0,12.09531021118164,0.2413293719291687,-0.05450475215911865,0.016784990206360817,7.868153907017908,0.002528208075091243,0.0,0.0,1.60351992235519e-05,1.3627384887829035,0.30912950209208895,0.4628207012975575,1.0442885160446167,0.0,1.0442885160446167,1.0442885160446167
271,34688,61.5892507455009,592,1.0442885160446167,0.0,1.0442885160446167,1.0442885160446167,500.0,0.0,500.0,500.0,12.10209846496582,0.5864049196243286,-0.3945605754852295,0.12826037406921387,15.046187407534863,0.0355357900261879,0.0,0.0,0.0002916158991865814,1.3641680102785172,0.3101937472820282,0.4632998498367381,1.0442885160446167,0.0,1.0442885160446167,1.0442885160446167
272,34816,63.193415757988944,594,1.0442885160446167,0.0,1.0442885160446167,1.0442885160446167,500.0,0.0,500.0,500.0,12.108739852905273,0.9215649962425232,-0.5275641679763794,0.25260648131370544,20.47256553654442,0.11297664791345596,0.0,0.0,0.00013402776676230133,1.3653755155846332,0.31108790210315157,0.4637014091816019,1.0442885160446167,0.0,1.0442885160446167,1.0442885160446167
273,34944,62.75161904793074,596,1.0442885160446167,0.0,1.0442885160446167,1.0442885160446167,500.0,0.0,500.0,500.0,12.114055633544922,0.9587106704711914,0.054507773369550705,0.0010009846882894635,25.824396600534218,0.1530051976442337,0.0,0.0,5.286555824568495e-05,1.3663610148070184,0.3118127499307905,0.4640259172280996,1.0442885160446167,0.0,1.0442885160446167,1.0442885160446167
274,35072,61.03737693094171,598,11.857834815979004,0.0,11.857834815979004,11.857834815979004,500.0,0.0,500.0,500.0,12.118412017822266,0.7935544848442078,0.1745043694972992,0.04747463017702103,5.39402053087591,0.06981930136680603,0.0,0.0,6.524164200527593e-05,1.3671787129228488,0.31241038867405485,0.46429269011901475,11.857834815979004,0.0,11.857834815979004,11.857834815979004
275,35200,62.116168271855166,601,11.857834815979004,0.0,11.857834815979004,11.857834815979004,500.0,0.0,500.0,500.0,12.122604370117188,0.4021230936050415,0.08368181437253952,0.03449380397796631,1.6092330375141521,0.00892423465847969,0.0,0.0,0.0001316495327046141,1.3681163582105358,0.31309383681842257,0.4645973927444883,11.857834815979004,0.0,11.857834815979004,11.857834815979004
276,35328,61.21762419646802,603,11.857834815979004,0.0,11.857834815979004,11.857834815979004,500.0,0.0,500.0,500.0,12.12859058380127,0.3449041247367859,0.03686115890741348,0.001088242745026946,7.7085928484929855,0.0062189544551074505,0.0,0.0,7.111092418199405e-05,1.3692422006641218,0.31391647458076477,0.46496458745598,11.857834815979004,0.0,11.857834815979004,11.857834815979004
277,35456,61.73313489656524,605,11.857834815979004,0.0,11.857834815979004,11.857834815979004,500.0,0.0,500.0,500.0,12.13888931274414,0.2218531221151352,0.014295477420091629,0.007354747503995895,6.351146140090631,0.003463360480964184,0.0,0.0,9.092145774047822e-05,1.3716210556747355,0.3156496669564928,0.46573717437579937,11.857834815979004,0.0,11.857834815979004,11.857834815979004
